Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1uF,C_0402_1005Metric,150.876,-66.774,90.0,bottom
C4,1uF,C_0402_1005Metric,148.717,-74.676,225.0,bottom
C5,100nF,C_0402_1005Metric,147.955,-64.897,90.0,bottom
C6,100nF,C_0402_1005Metric,151.257,-69.596,180.0,bottom
C7,100nF,C_0402_1005Metric,149.352,-66.548,180.0,bottom
C8,100nF,C_0402_1005Metric,137.033,-67.945,90.0,bottom
C9,100nF,C_0402_1005Metric,148.971,-64.897,90.0,bottom
C10,100nF,C_0402_1005Metric,143.01467,-77.851,270.0,bottom
C11,100nF,C_0402_1005Metric,152.781,-69.977,270.0,bottom
C12,100nF,C_0402_1005Metric,143.256,-60.452,135.0,bottom
C13,100nF,C_0402_1005Metric,136.017,-67.917,90.0,bottom
C14,100nF,C_0402_1005Metric,153.797,-69.977,270.0,bottom
C15,1uF,C_0402_1005Metric,294.01767,-67.79,270.0,bottom
C16,1uF,C_0402_1005Metric,287.66767,-65.913,90.0,bottom
C17,100nF,C_0402_1005Metric,156.60367,-73.533,225.0,bottom
D1,D_Small,D_SOD-123,125.74267,-47.753,90.0,bottom
D2,D_Small,D_SOD-123,126.20625,-55.5625,270.0,bottom
D3,D_Small,D_SOD-123,125.476,-80.644,90.0,bottom
D4,D_Small,D_SOD-123,125.603,-94.869,270.0,bottom
D5,D_Small,D_SOD-123,125.603,-114.427,270.0,bottom
D6,D_Small,D_SOD-123,144.653,-47.752,90.0,bottom
D7,D_Small,D_SOD-123,129.921,-55.625,270.0,bottom
D8,D_Small,D_SOD-123,129.032,-80.645,90.0,bottom
D9,D_Small,D_SOD-123,128.651,-94.869,270.0,bottom
D10,D_Small,D_SOD-123,144.653,-114.427,270.0,bottom
D11,D_Small,D_SOD-123,168.529,-47.752,90.0,bottom
D12,D_Small,D_SOD-123,173.0375,-55.5625,270.0,bottom
D13,D_Small,D_SOD-123,174.752,-76.835,270.0,bottom
D14,D_Small,D_SOD-123,177.8,-92.86875,270.0,bottom
D15,D_Small,D_SOD-123,172.47867,-120.65,90.0,bottom
D16,D_Small,D_SOD-123,187.198,-47.752,90.0,bottom
D17,D_Small,D_SOD-123,196.85,-55.5625,270.0,bottom
D18,D_Small,D_SOD-123,201.803,-75.946,270.0,bottom
D19,D_Small,D_SOD-123,192.0875,-92.86875,270.0,bottom
D20,D_Small,D_SOD-123,220.472,-120.65,90.0,bottom
D21,D_Small,D_SOD-123,206.121,-47.752,90.0,bottom
D22,D_Small,D_SOD-123,215.9,-55.5625,270.0,bottom
D23,D_Small,D_SOD-123,220.853,-75.946,270.0,bottom
D24,D_Small,D_SOD-123,211.1375,-92.86875,270.0,bottom
D25,D_Small,D_SOD-123,224.917,-47.752,90.0,bottom
D26,D_Small,D_SOD-123,234.95,-55.5625,270.0,bottom
D27,D_Small,D_SOD-123,239.903,-75.946,270.0,bottom
D28,D_Small,D_SOD-123,230.1875,-92.86875,270.0,bottom
D29,D_Small,D_SOD-123,243.713,-47.752,90.0,bottom
D30,D_Small,D_SOD-123,254.0,-55.5625,270.0,bottom
D31,D_Small,D_SOD-123,258.953,-75.946,270.0,bottom
D32,D_Small,D_SOD-123,249.2375,-92.86875,270.0,bottom
D33,D_Small,D_SOD-123,263.271,-47.752,90.0,bottom
D34,D_Small,D_SOD-123,273.05,-55.5625,270.0,bottom
D35,D_Small,D_SOD-123,278.003,-75.946,270.0,bottom
D36,D_Small,D_SOD-123,268.2875,-92.86875,270.0,bottom
D37,D_Small,D_SOD-123,301.89167,-120.65,90.0,bottom
D38,D_Small,D_SOD-123,282.448,-47.752,90.0,bottom
D39,D_Small,D_SOD-123,292.1,-55.5625,270.0,bottom
D40,D_Small,D_SOD-123,297.053,-75.946,270.0,bottom
D41,D_Small,D_SOD-123,287.3375,-92.837,270.0,bottom
D42,D_Small,D_SOD-123,301.244,-47.752,90.0,bottom
D43,D_Small,D_SOD-123,311.15,-55.5625,270.0,bottom
D44,D_Small,D_SOD-123,316.103,-75.946,270.0,bottom
D45,D_Small,D_SOD-123,306.3875,-92.837,270.0,bottom
D46,D_Small,D_SOD-123,320.929,-47.752,90.0,bottom
D47,D_Small,D_SOD-123,330.2,-55.5625,270.0,bottom
D48,D_Small,D_SOD-123,335.153,-75.946,270.0,bottom
D49,D_Small,D_SOD-123,325.4375,-92.837,270.0,bottom
D50,D_Small,D_SOD-123,339.979,-47.752,90.0,bottom
D51,D_Small,D_SOD-123,349.25,-55.5625,270.0,bottom
D52,D_Small,D_SOD-123,354.203,-75.946,270.0,bottom
D53,D_Small,D_SOD-123,344.4875,-92.837,270.0,bottom
D54,D_Small,D_SOD-123,358.775,-47.752,90.0,bottom
D55,D_Small,D_SOD-123,368.3,-55.5625,270.0,bottom
D56,D_Small,D_SOD-123,373.0625,-75.40625,270.0,bottom
D57,D_Small,D_SOD-123,363.5375,-92.86875,270.0,bottom
D58,D_Small,D_SOD-123,377.698,-47.752,90.0,bottom
D59,D_Small,D_SOD-123,387.35,-55.5625,270.0,bottom
D60,D_Small,D_SOD-123,392.1125,-75.40625,270.0,bottom
D61,D_Small,D_SOD-123,382.5875,-92.86875,270.0,bottom
D62,D_Small,D_SOD-123,382.66367,-120.65,90.0,bottom
D63,D_Small,D_SOD-123,396.367,-47.625,90.0,bottom
D64,D_Small,D_SOD-123,408.78125,-55.5625,270.0,bottom
D65,D_Small,D_SOD-123,436.753,-53.847,90.0,bottom
D66,D_Small,D_SOD-123,417.5125,-92.86875,270.0,bottom
D67,D_Small,D_SOD-123,458.7875,-47.625,90.0,bottom
D68,D_Small,D_SOD-123,400.05,-47.625,90.0,bottom
D69,D_Small,D_SOD-123,433.3875,-55.5625,270.0,bottom
D70,D_Small,D_SOD-123,422.021,-75.819,270.0,bottom
D71,D_Small,D_SOD-123,434.975,-94.742,270.0,bottom
D72,D_Small,D_SOD-123,430.28867,-120.65,90.0,bottom
D73,D_Small,D_SOD-123,478.028,-47.625,90.0,bottom
D74,D_Small,D_SOD-123,477.8375,-55.5625,270.0,bottom
D75,D_Small,D_SOD-123,478.028,-75.946,270.0,bottom
D76,D_Small,D_SOD-123,477.901,-94.742,270.0,bottom
D77,D_Small,D_SOD-123,477.901,-114.681,270.0,bottom
D78,D_Small,D_SOD-123,497.332,-47.625,90.0,bottom
D79,D_Small,D_SOD-123,496.09375,-54.76875,270.0,bottom
D80,D_Small,D_SOD-123,495.427,-75.946,270.0,bottom
D81,D_Small,D_SOD-123,495.935,-94.615,270.0,bottom
D82,D_Small,D_SOD-123,496.316,-114.681,270.0,bottom
D83,D_Small,D_SOD-123,500.507,-47.625,90.0,bottom
D84,D_Small,D_SOD-123,501.524,-53.213,180.0,bottom
D85,D_Small,D_SOD-123,498.094,-75.946,270.0,bottom
D86,D_Small,D_SOD-123,501.777,-92.456,180.0,bottom
D87,D_Small,D_SOD-123,498.856,-114.681,270.0,bottom
D88,D_Small,D_SOD-123,458.724,-55.626,270.0,bottom
D89,D_Small,D_SOD-123,458.7875,-75.40625,270.0,bottom
D90,D_Small,D_SOD-123,460.375,-94.742,270.0,bottom
D91,D_Small,D_SOD-123,440.563,-114.681,270.0,bottom
D92,"EverlightSMD,1.3x3.2","EverlightSMD,1.3x3.2",165.1,-84.93125,0.0,bottom
D93,"EverlightSMD,1.3x3.2","EverlightSMD,1.3x3.2",450.85,-46.83125,0.0,bottom
D94,"EverlightSMD,1.3x3.2","EverlightSMD,1.3x3.2",469.9,-46.83125,0.0,bottom
F2,500mA,Fuse_1206_3216Metric,297.942,-67.31,180.0,bottom
J3,Conn_01x04,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,311.277,-68.58,180.0,bottom
R1,1k,R_0402_1005Metric,134.37867,-68.959001,270.0,bottom
R2,175Ohm,R_0402_1005Metric,155.702,-82.677,45.0,bottom
R3,175Ohm,R_0402_1005Metric,446.786,-46.861,90.0,bottom
R4,27Ohm,R_0402_1005Metric,155.20667,-68.707,0.0,bottom
R5,27Ohm,R_0402_1005Metric,155.20667,-67.691,0.0,bottom
R6,10kOhm,R_0402_1005Metric,112.66167,-67.818,270.0,bottom
R7,1kOhm,R_0402_1005Metric,148.98367,-80.264,225.0,bottom
R8,175Ohm,R_0402_1005Metric,465.963,-46.734,90.0,bottom
SW1,SW_Push,KXT321LHS,147.61267,-82.423,180.0,bottom
SW4,MX_SW_solder,SW_Cherry_MX_PCB_1.00u,117.45592,-80.9625,0.0,top
U1,XC6206PxxxMR,SOT-23,290.9085,-67.31,180.0,bottom
U2,W25Q32JVSS,W25Q16FWUXIE,153.477051,-75.94228,135.0,bottom
U3,SRV05-4,SOT-23-6-routable,298.45,-71.247,90.0,bottom
U4,RP2040,RP2040-QFN-56,144.272,-69.37375,90.0,bottom
Y2,CSTNE12M0G520000R0,OSC_CSTNE12M0G520000R0,132.387142,-69.6145,90.0,bottom
